Hang_Seller,Seller_ID,Tong_Doanh_Thu,So_Luong_Don_Hang,So_Luong_San_Pham_Ban,Doanh_Thu_Trung_Binh_Moi_Dong
373,37515688008a7a40ac93e3b2e4ab203f,9346.35,226,238,39.27
374,fdb9095204a334cd8872252ffec6f2db,9289.37,46,61,152.28
375,ad781527c93d00d89a11eecd9dcad7c1,9279.26,44,44,210.89
376,a2e874074c877c5a05abae80ad6e488f,9274.8,44,46,201.63
377,fcb5ace8bcc92f75707dc0f01a27d269,9273.33,62,73,127.03
378,b18dc380845b24038cfc48006478f099,9248.93,44,54,171.28
379,609e1a9a6c2539919b8205cf7c4e6ff0,9242.46,86,129,71.65
380,b2ac621f0d0322434d04a12b078b9369,9234.47,28,28,329.8
381,403aa86912527d730337ffcb0fb096ab,9164.51,11,11,833.14
382,bd0389da23d89b726abf911cccc54596,9128.47,87,90,101.43
383,725c32fa80c2faacc4fc88450d27314e,9116.57,88,92,99.09
384,b4ffb71f0cb1b1c3d63fad021ecf93e1,9115.57,142,163,55.92
385,903037660cf848a717166eb7a06d616e,9083.28,45,60,151.39
386,8e6cc767478edae941d9bd9eb778d77a,9076.07,105,113,80.32
387,08633c14ef2db992c11f840f04fad4cd,9068.82,74,97,93.49
388,52d76513f0c4d97f3b99570e2c94ee31,9042.36,19,28,322.94
389,4bfc7a4a1cf8d4d2121c27422d9e50b5,9019.46,25,39,231.27
390,93dc87703c046b603023e75222018b45,9012.92,34,35,257.51
391,7722b1df1b0e383e000397b2c11e3e19,8964.85,132,143,62.69
392,8648b1e89e9b349e32d3741b30ec737e,8946.05,95,103,86.85
393,784ba75dd9d20200c4caed3d7a77141a,8924.95,21,24,371.87
394,989becdce12ebc39863c2bceab6f3ca1,8893.33,18,18,494.07
395,6fd52c528dcb38be2eea044946b811f8,8881.58,67,84,105.73
396,257e61d3251fb5efb9daadddbc2cf7ca,8806.18,12,12,733.85
397,5d0363b33554b373851fc1622e4d5f3c,8802.97,94,95,92.66
398,4e17c65a516f69d023a2ae78b84f28d6,8794.8,61,74,118.85
399,8a32e327fe2c1b3511609d81aaf9f042,8792.04,132,180,48.84
400,0432ead42b6c8a0bdf68154add917fdf,8737.82,83,87,100.43
401,b410bdd36d5db7a65dcd42b7ead933b8,8733.61,44,44,198.49
402,062ce95fa2ad4dfaedfc79260130565f,8721.44,55,60,145.36
403,5b925e1d006e9476d738aa200751b73b,8721.11,62,62,140.66
404,1da366cade6d8276e7d8beea7af5d4bf,8673.73,43,49,177.01
405,ececbfcff9804a2d6b40f589df8eef2b,8661.06,98,104,83.28
406,dbb9b48c841a0e39e21f98e1a6b2ec3e,8629.22,106,116,74.39
407,397c4d0c005b6f41f90098ac724e28cb,8622.37,5,5,1724.47
408,bbf9ad41dca6603e614efcdad7aab8c4,8622.26,14,14,615.88
409,e333046ce6517bd8bb510291d44f0130,8612.71,67,73,117.98
410,2c9e548be18521d1c43cde1c582c6de8,8603.05,126,174,49.44
411,26d8a1c7c75d513045798992ead43aa2,8595.94,34,36,238.78
412,058fd0aa2bfdb2274e05e1ae971dabb6,8555.8,61,64,133.68
413,1127b7f2594683f2510f1c2c834a486b,8552.38,112,130,65.79
414,cc63f0dd2acba93ffed4fe9f8e0321fa,8496.68,55,63,134.87
415,52f976b17ea7f2f087f56dcc419328f6,8492.65,6,6,1415.44
416,86bb7c4b535e49a541baf3266b1c95b1,8487.22,16,16,530.45
417,8fb791022c1fc8909664f48ab7dc636d,8483.35,5,5,1696.67
418,d51e0a403fe2e689ece6c73359d96e12,8463.02,19,26,325.5
419,a420f60ff1aa9acc80d0e42959f2b313,8458.04,66,68,124.38
420,3bb548e3cb7f70f28e3f11ee9dce0e59,8449.63,45,52,162.49
421,4aba391bc3b88717ce08eb11e44937b2,8435.21,29,30,281.17
422,282f23a9769b2690c5dda22e316f9941,8386.96,99,110,76.25
423,6a51fc556dab5f766ced6fbc860bc613,8370.25,26,33,253.64
424,6bd69102ab48df500790a8cecfc285c2,8359.02,5,5,1671.8
425,67883baaae6134ee81b271a542613728,8329.79,18,18,462.77
426,e2aee0892199b1d92530e371abd825bf,8317.29,38,41,202.86
427,aced59e9b31ef866a94f9e7f29d8d418,8315.8,61,67,124.12
428,c26a2be5b53b7db6b276280da212a779,8288.85,13,18,460.49
429,54065e9aef7e9e9c2dc23b7594db021a,8283.43,14,14,591.67
430,381c83fdca332ea6afd896da20bf6e4a,8224.85,45,45,182.77
431,42bde9fef835393bb8a8849cb6b7f245,8202.43,33,37,221.69
432,dbdd0ec73a4817971d962698f2fea022,8174.8,16,16,510.93
433,6a8b085f816a1f75f92dbac6eb545f8f,8126.93,126,134,60.65
434,7bac63f6603d382cc8d0832eb6c100a8,8114.6,19,19,427.08
435,8476243f92442881ddd5b578975cf115,8113.03,12,12,676.09
436,516e7738bd8f735ac19a010ee5450d8d,8109.32,76,84,96.54
437,34056b8b55c1775a22af2331670a799c,8087.46,77,77,105.03
438,b14db04aa7881970e83ffa9426897925,8071.57,82,110,73.38
439,d13e50eaa47b4cbe9eb81465865d8cfc,8012.84,67,69,116.13
440,f84a00e60c73a49e7e851c9bdca3a5bb,7951.76,90,99,80.32
441,6fa9202c10491e472dffd59a3e82b2a3,7939.25,3,3,2646.42
442,e0a366315b1b726b6c7832d664c0f530,7927.9,42,50,158.56
443,dee656f0f566ed1aa85bd137c943f08f,7917.67,92,94,84.23
444,670c26e0f1bf8d0576271d5cfaec6d2b,7906.69,77,86,91.94
445,58f1a6197ed863543e0136bdedb3fce2,7903.69,44,45,175.64
446,688756f717c462a206ad854c5027a64a,7901.45,83,101,78.23
447,cee48807215b30a12ca2ca10ffb5f250,7888.56,38,39,202.27
448,f1fd5ab1181f827ffad998c1a5de7d74,7877.96,15,15,525.2
449,fa1a9dec3a9940c072684a46728bf1fc,7852.95,54,59,133.1
450,11305281b50fff20ae8bb473f8e11876,7849.23,34,38,206.56
451,6b243f80ed07b10f0e8aa0f21a205f3c,7807.4,79,89,87.72
452,080102cd0a76b09e0dcf55fcacc60e05,7787.96,122,128,60.84
453,f25e239052084705e17a982bc600ab2a,7785.48,8,8,973.18
454,d624126b9206f595fb3fbb6ba03b28a8,7768.5,23,28,277.45
455,8c16d1f32a54d92897cc437244442e1b,7754.67,108,118,65.72
456,b347677812ea483b0f528eaf8cbc09b7,7746.64,20,20,387.33
457,512d298ac2a96d1931b6bd30aa21f61d,7723.87,11,12,643.66
458,87e24fc7052259b1f7f607d61c10d8be,7709.86,8,8,963.73
459,014c0679dd340a0e338872e7ec85666a,7686.31,14,15,512.42
460,d9bd94811c3338dceb4181f3dbc0c73e,7682.11,54,61,125.94
461,ff1fb4c404b2efe68b03350a8dc24122,7666.95,46,49,156.47
462,751bdc4d83a466c7206cd42e8f426b03,7651.15,53,70,109.3
463,bacb1f0ed56ad24198f5810d2b3fe9a5,7647.85,41,41,186.53
464,dd55f1bb788714a40e7954c3be6df745,7582.38,34,36,210.62
465,54219883e72aad869adfb2a54b7bfa0f,7579.55,5,5,1515.91
466,31ae0774c17fabd06ff707cc5bde005f,7570.67,11,11,688.24
467,57e632711dec9ec14ca7546769483e7e,7558.04,62,65,116.28
468,30829ded4523ab9224b93bc49a62c95f,7549.71,18,31,243.54
469,b19f3ca2ea475913750f25a5c37c8d8f,7549.55,24,24,314.56
470,83e197e95a1bbabc8c75e883ed016c47,7515.96,46,54,139.18
471,f46490624488d3ff7ce78613913a7711,7492.69,82,90,83.25
472,63b464dbf392c7b80d12d932fa7cafed,7485.23,36,38,196.98
473,3340ef1913fb70d28420f6ceb685c339,7481.55,32,42,178.13
474,ade45994b717ccee333492330fbf037b,7479.63,10,10,747.96
475,e5e33c0d8e7e002f398f5dc4cbbb338f,7477.33,28,29,257.84
476,679769a98cfcc6da877c8486ff1c13f3,7467.39,21,21,355.59
477,a4b6b9b992b46e9ef863637af96e04bc,7452.36,7,14,532.31
478,7dc8c42cc750eeafea6c85712ffee9bf,7445.09,41,50,148.9
479,05d2173d43ea568aa0540eba70d2ca76,7438.93,62,66,112.71
480,5b67882648febfb6e1225e6ad7164f6b,7432.42,27,30,247.75
481,0873d9f8f36123f8d910f4760e788cfb,7426.65,6,6,1237.78
482,9616352088dcf83a7c06637f4ebf1c80,7409.8,91,97,76.39
483,2a261b5b644fa05f4f2700eb93544f2c,7396.73,51,82,90.2
484,ba143b05f0110f0dc71ad71b4466ce92,7384.55,84,85,86.88
485,0691148aee60ca47977c187804f935ae,7359.45,47,53,138.86
486,b8630e1121437d41cb08e3c749c2c2e2,7334.1,12,12,611.18
487,b3b17aab11f273023a5f22ca52e1eb70,7325.35,7,13,563.49
488,40d54b51e962dbe09cabbcfd33298dee,7323.25,30,31,236.23
489,3ade81dab5a172b88e1871c28ae05260,7302.99,30,32,228.22
490,4c03b9dd4c11ee2cb35c96c49efc9420,7302.33,48,48,152.13
491,5670f4db5b62c43d542e1b2d56b0cf7c,7212.65,22,22,327.85
492,02f623a8eb246f3c5f7c2f96462654e6,7207.63,44,44,163.81
493,ff4ea69c2a729e83e63c7579e4ef8170,7188.62,9,9,798.74
494,455c5640e8c5bd1b2ee85c0158f85727,7186.89,8,8,898.36
495,ea67327e24487bdfac5fbfa37ea124df,7180.28,32,34,211.18
496,33dd941c27854f7625b968cc6195a552,7168.41,5,5,1433.68
497,bd4889b5e9133b35b66e42a8665cea5c,7157.23,35,41,174.57
498,4b5f66b7adcf57f1ecc0d3c07dd6b177,7115.96,23,38,187.26
499,e3b4998c7a498169dc7bce44e6bb6277,7114.69,3,3,2371.56
500,e8b4225284fbb02d16f200513f1f395d,7086.13,31,31,228.58
501,6f892e20a171e98efe17fdb971ff319b,7069.74,43,52,135.96
502,91f848e9f4be368f4318775aac733370,7060.78,62,72,98.07
503,a63bfbaa882c8f4542891b4e2246cc7f,7036.19,7,7,1005.17
504,67bf6941ba2f1fa1d02c375766bc3e53,7029.68,16,22,319.53
505,33c51922b6e3c16b24a8f28e5833c99d,7025.88,18,20,351.29
506,cfa5ab0e4d3fc212fd0b3410e7081c62,7018.93,15,20,350.95
507,537eb890efff034a88679788b647c564,6993.74,156,169,41.38
508,b2479f944e1b90cf8a5de1bbfde284d6,6992.22,103,131,53.38
509,376a891762bbdecbc02b4b6adec3fdda,6936.56,55,56,123.87
510,e9d99831abad74458942f21e16f33f92,6916.06,130,149,46.42
511,f12ff17ad8bbf01ec5c33b17e506649b,6892.73,29,29,237.68
512,3be634553519fb6536a03e1358e9fdc7,6876.12,81,94,73.15
513,0bf0150d5b9d60d9cd2906003332f085,6872.34,39,62,110.84
514,50c9975695009e5e6473912e83a6d1da,6839.37,49,67,102.08
515,abe021b01ba992245271b9aa422032df,6837.24,2,2,3418.62
516,b6d44737c043328708f6749c2dbe50bd,6835.25,61,79,86.52
517,eb3071b9f0b0ddaa2df5ea130f09f26b,6811.42,9,11,619.22
518,3df020b72d3d44b3af9d110fa3940b65,6749.47,55,101,66.83
519,b4a476fbd28de64b1e347abf9089366a,6735.95,33,38,177.26
520,ee27a8f15b1dded4d213a468ba4eb391,6726.66,1,1,6726.66
521,bba74270a87732727b5a3b4fd9ac1c39,6690.55,35,40,167.26
522,98dac6635aee4995d501a3972e047414,6675.37,91,195,34.23
523,9baf5cb77970f539089d09a38bcec5c3,6673.4,32,33,202.22
524,f4c4daa86e30c7e5a553a8d518ac03a5,6671.2,20,20,333.56
525,f181738b150df1f37cb0bd72e705b193,6632.75,36,37,179.26
526,4917cee8d902e13428c3ec4b1ca6f315,6621.54,33,33,200.65
527,dfc5fb7259bb2b599ca565e6e9448f0f,6619.75,32,33,200.6
528,dfa0c4c6229ab200a4a1336b4d7128ff,6544.21,77,86,76.1
529,94e93ce877be27a515118dbfd2c2be41,6542.72,30,35,186.93
530,2528744c5ef5d955adc318720a94d2e7,6508.7,5,5,1301.74
531,dbd66278cbfe1aa1000f90a217ca4695,6472.77,85,99,65.38
532,0d85bbda9889ce1f7e63778d24f346eb,6469.7,51,58,111.55
533,23613d49c3ac2bd302259e55c06c050c,6460.76,70,80,80.76
534,d6b664fa0667064c6d76394e7848d790,6404.34,6,6,1067.39
535,02d35243ea2e497335cd0f076b45675d,6399.95,14,16,400.0
536,52ac6f920b7280e4c6d30dd94de6259b,6383.89,6,7,911.98
537,fc906263ca5083d09dce42fe02247800,6383.28,114,119,53.64
538,e62b2d6ac10570a035a30bafcf01d263,6375.47,62,71,89.8
539,1336efc61c316ddf92c899eb817f7cae,6355.29,74,85,74.77
540,04aa0a1c5ce6b222003403a3e11c3cc0,6339.51,11,17,372.91
541,2fdde51ad3e12f297da656d4fbd5d0b5,6329.01,9,9,703.22
542,7d76b645482be4a332374e8223836592,6304.25,172,183,34.45
543,817245bcc3badd82bbd222e0366951a6,6303.08,29,45,140.07
544,709e16e2b25c7474d980076c6bfc4806,6281.51,59,79,79.51
545,83deb69e889cf80f82be1dc6d5f2d486,6276.65,40,42,149.44
546,f84fa566034f5e8e880a07ec624c56af,6271.66,90,101,62.1
547,afe0067131b73e40875c9b6c10bd2e21,6255.85,46,46,136.0
548,b39d7fe263ef469605dbb32608aee0af,6255.77,44,49,127.67
549,9674754b5a0cb32b638cec001178f799,6251.82,85,96,65.12
550,06579cb253ecd5a3a12a9e6eb6bf8f47,6226.61,62,72,86.48
551,23c38debaffe4a25a30fdbd9b586a13f,6216.56,41,46,135.14
552,575df70bde3f9f2b30bf8d2e9910d725,6163.42,27,34,181.28
553,1bb2bdb95f4841f1bba2c0d2cd83d3c9,6149.27,81,85,72.34
554,0cbcee27c791afa0cdcb08587a2013a8,6141.31,39,41,149.79
555,7e3f87d16fb353f408d467e74fbd8014,6102.69,91,93,65.62
556,835f0f7810c76831d6c7d24c7a646d4d,6094.03,44,50,121.88
557,d566c37fa119d5e66c4e9052e83ee4ea,6086.63,64,72,84.54
558,d66c305afaec317ebee552073a674429,6085.7,41,47,129.48
559,f680f85bee2d253556ac91be391d2c82,6077.34,45,54,112.54
560,cc3d14116804f7209f3884f6367f1152,6060.59,27,30,202.02
561,8bb48dc19fccaa8613b6229bf7f452a2,6048.12,82,95,63.66
562,0176f73cc1195f367f7b32db1e5b3aa8,6020.11,38,39,154.36
563,c35affa65afd250151285c5917fc1c8a,5993.92,9,9,665.99
564,9add47bf45ce8e8c7db6b9cf670b1e09,5987.28,43,45,133.05
565,916c9de0b5ad957346eeeb12f332687e,5973.78,23,28,213.35
566,45ba18c210d42734ec52c0c1c574e9ee,5958.41,36,39,152.78
567,f7496d659ca9fdaf323c0aae84176632,5932.51,26,27,219.72
568,e067ad2c1c0b48758eb1b5228bcf7a68,5926.09,53,60,98.77
569,acce39e832338debb07b02385cde5967,5923.66,44,44,134.63
570,8b9d6eec4a7eb7d0f9d579ce0b38324d,5916.98,49,53,111.64
571,abcd2cb37d46c2c8fb1bf071c859fc5b,5907.24,44,50,118.14
572,3ab971ce71839580d2ae5b4e40fe8044,5899.05,36,38,155.24
573,e06f09ec0a4aca210779cf1cfc63cf19,5834.31,28,30,194.48
574,f67efa3f0b6761102a7f8c6b7b571f5d,5823.41,30,31,187.85
575,3c7c4a49ec3c6550809089c6a2ca9370,5814.76,140,158,36.8
576,bbad7e518d7af88a0897397ffdca1979,5800.42,69,85,68.24
577,55d3daac7c404d59e51c2aa2f4dc5a23,5790.48,21,28,206.8
578,d63c73efd41eb002280e7ec831424edb,5766.59,2,2,2883.3
579,b561927807645834b59ef0d16ba55a24,5764.86,84,94,61.33
580,c4af86330efa7a2620772227d2d670c9,5760.96,4,4,1440.24
581,2ff97219cb8622eaf3cd89b7d9c09824,5742.82,88,95,60.45
582,45d33f715e24d15a6ccf5c17b3a23e3c,5742.16,59,61,94.13
583,d20b021d3efdf267a402c402a48ea64b,5715.17,90,106,53.92
584,1a932caad4f9d804097d7f8e615baed1,5701.45,20,30,190.05
585,5bffbafbb22daf6d3bfc216a46db8708,5694.2,21,23,247.57
586,822bad9bc42b51213ba522fe87b7ab5d,5687.34,18,18,315.96
587,cac4c8e7b1ca6252d8f20b2fc1a2e4af,5684.62,74,82,69.32
588,582d4f8675b945722eda7c0cb61ba4c7,5683.93,59,71,80.06
589,5b179e9e8cc7ab6fd113a46ca584da81,5670.94,33,35,162.03
590,f789d2c4f2c2eb38fc4373e7a4b35264,5668.68,43,48,118.1
591,fcdd820084f17e9982427971e4e9d47f,5665.74,16,27,209.84
592,3f0e48d209018b466fcd3bb4ccfeb520,5654.8,9,10,565.48
593,fad44952713764836814be105382aee5,5636.88,32,32,176.15
594,2a7dc43cecabf23403078e2188437d1d,5629.62,52,54,104.25
595,ad420dd0c4f92f8af951ac24b86d0cf5,5618.4,42,46,122.14
596,099095b050cfe8eb1ddff5317587e96e,5609.55,16,19,295.24
597,11bfa66332777660bd0640ee84d47006,5608.54,76,102,54.99
598,30a2f535bb48308f991d0b9ad4a8c4bb,5608.3,68,84,66.77
599,02ecc2a19303f05e59ce133fd923fff7,5594.99,20,23,243.26
600,e0878efa0e0b7e5313ac0b43bc04c081,5594.91,27,29,192.93
601,a3f0b55de503387383c7b1de3ad7f678,5577.74,24,26,214.53
602,ef990a83bbea832f36ebe81376335aa8,5557.24,43,44,126.3
603,822166ed1e47908f7cfb49946d03c726,5535.95,69,108,51.26
604,cc5a78bbad32776dc4e3af205218368c,5524.74,32,37,149.32
605,4bf2f4ee540798a61f9636d12cd9cc80,5501.01,29,30,183.37
606,d379f449f2a3b271bc01c0782020f705,5499.8,28,29,189.65
607,d673a59aac7a70d8b01e6902bf090a11,5499.56,79,84,65.47
608,834f8533b2ecb6598dd004ff3de7203a,5496.31,43,47,116.94
609,951e8cef368f09bb3f3d03c00ca4702c,5493.09,64,71,77.37
610,e9c6969d40e6a3d2d0f90013165c2b98,5481.98,10,10,548.2
611,4d0041cdbe51b4617d95c70b19decc74,5465.49,8,8,683.19
612,c68fb906c8f4b4b946d8386bfa6e5467,5433.61,45,48,113.2
613,8bd0f31cf0a614c658f6763bd02dea69,5423.32,33,35,154.95
614,a3dd39f583bc80bd8c5901c95878921e,5412.16,34,37,146.27
615,42b729f859728f5079499127a9c2ef37,5401.39,103,131,41.23
616,891071be6ba827b591264c90c2ae8a63,5390.26,91,97,55.57
617,4c498c7345e89aebad651544829beca0,5389.76,48,48,112.29
618,0ef83d7d83ed97cd2a0049ac8be5f88a,5372.59,47,54,99.49
619,db4350fd57ae30082dec7acbaacc17f9,5322.63,134,143,37.22
620,503c1de08ae81a2d86f17951b204db55,5321.9,22,22,241.9
621,beadbee30901a7f61d031b6b686095ad,5311.52,64,68,78.11
622,65febd49fd28ec955651299159b1f527,5301.14,35,40,132.53
623,ce69a8021d18961dd2a40269b7c2c293,5289.05,19,19,278.37
624,715bbd5ba4e6b74cb0d2f29eb45058b0,5262.64,61,63,83.53
625,6860153b69cc696d5dcfe1cdaaafcf62,5256.86,73,83,63.34
626,c12b92bf1c350f3e6bf88d3596219c86,5252.84,17,17,308.99
627,c9a06ece156bb057372c68718ec8909b,5229.62,14,14,373.54
628,eed78ac17f7f795a19a709745f00cd4e,5195.84,22,56,92.78
629,d12c926d74ceff0a90a21184466ce161,5192.82,78,99,52.45
630,99002261c568a84cce14d43fcffb43ea,5188.33,36,36,144.12
631,0509040ea3fe50071181bbc359eb7738,5183.1,89,98,52.89
632,9df5750209b83567ec144eb299d7d634,5176.3,11,11,470.57
633,b17b679f4f5ce2e03ce6968c62648246,5160.82,55,57,90.54
634,232a6014e7b10cba61c6c2b2ea6bb4b0,5133.27,33,36,142.59
635,6fc26fe110feebd80a433e1f012a84f9,5128.06,35,72,71.22
636,1fe5540d7c1c37a595fefbacd5570d9e,5118.75,20,25,204.75
637,822b63912576852aea9a8436d72317b7,5097.07,8,9,566.34
638,5c030029b5916fed0986310385ec9009,5079.9,7,10,507.99
639,8a130737016f838139d31878787a39c9,5064.32,56,62,81.68
640,6ec1a01e866584bb679eb9b098345919,5063.76,31,32,158.24
641,31da954dc0855f2495c6310f70a2f931,5032.71,29,30,167.76
642,99a54764c341d5dc80b4a8fac4eba3fb,5026.26,45,67,75.02
643,15aac934c58d886785ac1b17953ea898,5019.6,25,26,193.06
644,37dd29b36c458d82f74a953c40c43645,5016.43,7,8,627.05
645,8931a84a914b3fe9b1ddaa4d704947ca,5016.04,28,31,161.81
646,0307f7565ff85b299b6e5ef162b1b1a9,5003.57,7,7,714.8
647,8f580d36c1e9d6fbce95283403c7d447,4993.4,8,8,624.18
648,f0b47fbbc6dee9aafe415a6e33051b3f,4993.16,66,84,59.44
649,827f8f69dfa529c561901c4f2e0f332f,4958.83,90,103,48.14
650,6b3bd31ad8fcda4b2635ec9f3ff2ecdf,4955.92,36,43,115.25
651,b90e891671cffd9557f33a97dc523645,4951.96,33,38,130.31
652,3c03b12bab54d8b37d79d914bfdb1aa0,4919.77,37,43,114.41
653,1b938a7ec6ac5061a66a3766e0e75f90,4897.83,30,33,148.42
654,cb41bfbcbda0aea354a834ab222f9a59,4888.68,12,12,407.39
655,c840d3fdbba0790404fdae73d253b253,4881.93,9,14,348.71
656,968268a686aa05d1f529fb07dff08130,4880.84,12,12,406.74
657,2addf05f476d0637864454e93ba673d5,4877.64,12,12,406.47
658,45213867cefbf2cd4c6177e10216a951,4875.65,13,13,375.05
659,f6122bc84774df1b372bdb3bb88ddb9f,4874.36,3,3,1624.79
660,c004e5ea15737026cecaee0447e00b75,4874.32,2,2,2437.16
661,55a5b51f93f2b70ea513f5a047b0262a,4849.38,39,41,118.28
662,e49c26c3edfa46d227d5121a6b6e4d37,4829.71,35,36,134.16
663,95f83f51203c626648c875dd41874c7f,4826.51,52,67,72.04
664,8f119a0aee85c0c8fc534629734e94fd,4826.45,77,83,58.15
665,6288c69c4ce638e59925e59193f98b16,4812.48,22,22,218.75
666,e81e1f9c3e762e620f3fb60a51499e16,4804.63,16,17,282.63
667,b76dba6c951ab00dc4edf0a1aa88037e,4802.49,157,167,28.76
668,fde0cc9ea29c8ccfc0a2c22256a58c71,4799.26,34,34,141.15
669,9803a40e82e45418ab7fb84091af5231,4791.38,11,18,266.19
670,2e3be8a987a30d7544dbbda6861cc14e,4777.55,18,19,251.45
671,cd6efc47efaabf134f8bdb654e10b4f1,4757.16,31,32,148.66
672,13d058e4eeac2ce8217660b2f8a05812,4755.88,23,23,206.78
673,f76a3b1349b6df1ee875d1f3fa4340f0,4748.98,24,24,197.87
674,f3da5b2ff499efb8d4a6d371d175d7dd,4733.89,78,83,57.03
675,3f3486b61f45078d4f31ee5e43d8c5bb,4726.57,40,40,118.16
676,180c3376aff0e43dd5788709df48a843,4722.97,5,10,472.3
677,ec8879960bd2221d5c32f8e12f7da711,4721.53,35,35,134.9
678,81f89e42267213cb94da7ddc301651da,4721.18,46,52,90.79
679,13fa2a6c6b9d0f43cb588d7c82117a12,4719.44,9,10,471.94
680,520b493b57809f446cb0a233bb3e25c7,4685.3,62,72,65.07
681,602044f2c16190c2c6e45eb35c2e21cb,4677.44,50,57,82.06
682,1eade46fba20122dc4aefb379f8c636b,4673.71,58,75,62.32
683,f97e2b0650c2068227e1d366140eb62f,4665.98,16,21,222.19
684,c500367424994318b9e779ff1ae9a330,4658.39,9,9,517.6
685,8cbac7e12637ed9cffa18c7875207478,4654.35,67,82,56.76
686,bf3c6d2a28b2b5501e6c15448982dcc9,4648.15,35,43,108.1
687,2199e7fe213c16213bf5d6a7eadc9a5d,4647.78,25,31,149.93
688,43f8c9950d11ecd03a0304a49e010da6,4642.88,40,40,116.07
689,6a0cbc8af2e8abd1bdfb777943d174c6,4639.42,35,35,132.55
690,bccf933e006e9b94a6184af782963e77,4635.36,42,43,107.8
691,4d600e08ecbe08258c79e536c5a42fee,4633.46,8,8,579.18
692,3f995f07c49d0d55a99d5c54957f7d81,4627.2,43,43,107.61
693,406822777a0b9eb5c50e442dd4cd3ec5,4596.34,45,47,97.79
694,382229d1e840115ffe3dbf5ff460e417,4583.31,45,48,95.49
695,d5ba419e26d246a0719437cf37d9b46d,4581.51,34,35,130.9
696,681fce914360217db47784ae28905a96,4571.8,23,24,190.49
697,f4aba7c0bca51484c30ab7bdc34bcdd1,4557.5,110,117,38.95
698,6b333a05bf188ef3e1f1662a86bd9855,4554.88,12,13,350.38
699,e883aa812c37a7413226856f4579fe91,4554.46,26,29,157.05
700,238fac594e170b59c6d228f5a4f4f1d9,4545.52,29,30,151.52
701,3361277dc30b7cccdb0c286b24219756,4540.9,29,42,108.12
702,f021c962aaba8ef6eb527a9c2c8394d1,4533.87,5,5,906.77
703,1fdc574883ef3b33ad41562d93f3a74a,4524.27,18,18,251.35
704,4559697a8f7e637227c2eeaed843baff,4474.27,42,42,106.53
705,7f152321c60a266edc53af1925ef96c1,4471.92,20,20,223.6
706,56642bcb79900e777d68e91915cb4267,4471.79,48,56,79.85
707,282c7480173bb9c01dd41cc739fec010,4466.31,5,8,558.29
708,02f5837340d7eb4f653d676c7256523a,4463.88,30,30,148.8
709,66dc1b1632bd6a3e508510c5b3492107,4449.26,37,42,105.93
710,38e679b9e0064cd94c6f035707344dae,4418.1,28,30,147.27
711,6bb0724edf0b62fb91ac404873a97241,4416.52,17,18,245.36
712,1b8356dabde1d35e17cef975c3f82730,4413.61,56,61,72.35
713,f00e21b1e91a79653163b7fd8f293ff1,4402.64,30,30,146.75
714,070d165398b553f3b4b851c216b8a358,4396.75,32,39,112.74
715,3d8fa2f5b647373c8620330c4e077a9f,4390.55,43,48,91.47
716,271c58a1d139c45eaf3316107c6d3a3b,4378.43,28,28,156.37
717,79ed755314cfe6df0daef2c6cd3022cd,4366.66,23,25,174.67
718,edf96ef93ed595084bbcbd9224bd2894,4365.78,25,28,155.92
719,2745f798279e0ed033addcc1474776d7,4364.99,32,32,136.41
720,42fa4ee7240e9b8eb4576358ec142ba7,4364.47,22,22,198.38
721,870d0118f7a9d85960f29ad89d5d989a,4363.04,44,60,72.72
722,3c4e0452bff7a2a788179488d3d77032,4352.52,32,36,120.9
723,9b1585752613ec342d03bbab9997ec48,4349.04,3,3,1449.68
724,ed4311e67debd72b8610a5347a743087,4342.81,25,26,167.03
725,6481e96574816ead57975da2c0f6d80d,4340.86,32,43,100.95
726,8b2492b7ff4468839593fafeed55bad9,4336.26,29,45,96.36
727,14d7985702e72162bbf13b6beb74ab2b,4332.19,36,37,117.09
728,8ed8ea9a57c862f2c18c2fe41f601d56,4331.18,18,18,240.62
729,276677b5d08786d5dce7c2149dcce48b,4320.64,33,47,91.93
730,2e13c71026e1a39ba5cc1b86dcb679aa,4310.21,24,28,153.94
731,23a0ffca143a15b9b5bbdb7d552f626a,4304.28,23,24,179.35
732,8c3b533c63cca56240f94f1e3a6b18ef,4301.77,5,8,537.72
733,8090490573c6c0aa343a7231ebcb8c86,4298.03,26,26,165.31
734,a44fb5a447105f8469bdf16bf9159f25,4292.71,19,19,225.93
735,c731d18cea9bf687ffee82a241c25b11,4272.65,24,26,164.33
736,96804ea39d96eb908e7c3afdb671bb9e,4270.04,37,39,109.49
737,df560393f3a51e74553ab94004ba5c87,4267.33,28,29,147.15
738,a0415d9b25ede3c4b1e477e9916ffc03,4247.98,10,10,424.8
739,9646c3513289980f17226a2fc4720dbd,4247.32,71,78,54.45
740,5f5b43b2bffa8656e4bc6efeb13cc649,4232.65,27,29,145.95
741,2d2c62bef4c8ba0dd74e0e228e808539,4230.48,16,16,264.41
742,4c18691b6037662be2df78a765d98ab5,4222.34,62,66,63.97
743,994f04b3718c2bab35c2adfa8afecd2a,4221.21,49,57,74.06
744,f35b3c613c4f7b2275f4185d0a3c59ec,4214.29,9,9,468.25
745,e8f6dc8e6a1dcde89d20e3995c8d90b3,4201.84,35,46,91.34
746,643214e62b870443ccbe55ab29a4dccf,4199.78,66,68,61.76
747,2a167ca73899c85001a837d8fb4962f6,4197.62,2,3,1399.21
